county,office,candidate,party,votes
Pope,Governor,Rod Bryan,Independent,348
Pope,Governor,Jim Lendall,Green,291
Pope,Governor,Michael Jones,Write-In,38
Pope,Governor,Gene Mason,Write-In,26
Pope,Land Commissioner,Mark Wilcox,Democratic,11678
Pope,Land Commissioner,Robert David Lewis,Green,2575
Pope,Lieutenant Governor,Jim Holt,Republican,7992
Pope,Lieutenant Governor,Bill Halter,Democratic,7328
Pope,Secretary of State,Charlie Daniels,Democratic,8272
Pope,Secretary of State,Jim Lagrone,Republican,6632
Pope,Secretary of State,"Ralph ""Marty"" Scully",Green,437
Pope,State Auditor,Auditor of State Jim Wood,Democratic,11903
Pope,State Auditor,Michael Joseph Bolzenius,Green,2241
Pope,State Treasurer,Martha Shoffner,Democratic,7582
Pope,State Treasurer,Chris Morris,Republican,7149
Pope,State Treasurer,Brock Carpenter,Green,584
Prairie,Attorney General,Dustin McDaniel,Democratic,1968
Prairie,Attorney General,Gunner DeLay,Republican,735
Prairie,Attorney General,Rebekah Kennedy,Green,99
Prairie,Governor,Mike Beebe,Democratic,1901
Prairie,Governor,Asa Hutchinson,Republican,804
Prairie,Governor,Rod Bryan,Independent,105
Prairie,Governor,Jim Lendall,Green,69
Prairie,Governor,Michael Jones,Write-In,0
Prairie,Governor,Gene Mason,Write-In,0
Prairie,Land Commissioner,Mark Wilcox,Democratic,2456
Prairie,Land Commissioner,Robert David Lewis,Green,256
Prairie,Lieutenant Governor,Bill Halter,Democratic,1935
Prairie,Lieutenant Governor,Jim Holt,Republican,885
Prairie,Secretary of State,Charlie Daniels,Democratic,2144
Prairie,Secretary of State,Jim Lagrone,Republican,610
Prairie,Secretary of State,"Ralph ""Marty"" Scully",Green,71
Prairie,State Auditor,Auditor of State Jim Wood,Democratic,2506
Prairie,State Auditor,Michael Joseph Bolzenius,Green,211
Prairie,State Treasurer,Martha Shoffner,Democratic,2074
Prairie,State Treasurer,Chris Morris,Republican,622
Prairie,State Treasurer,Brock Carpenter,Green,106
Pulaski,Attorney General,Dustin McDaniel,Democratic,68867
Pulaski,Attorney General,Gunner DeLay,Republican,34189
Pulaski,Attorney General,Rebekah Kennedy,Green,4831
Pulaski,Governor,Mike Beebe,Democratic,66821
Pulaski,Governor,Asa Hutchinson,Republican,38653
Pulaski,Governor,Rod Bryan,Independent,2521
Pulaski,Governor,Jim Lendall,Green,1933
Pulaski,Governor,Michael Jones,Write-In,0
Pulaski,Governor,Gene Mason,Write-In,0
Pulaski,Land Commissioner,Mark Wilcox,Democratic,82019
Pulaski,Land Commissioner,Robert David Lewis,Green,17502
Pulaski,Lieutenant Governor,Bill Halter,Democratic,70871
Pulaski,Lieutenant Governor,Jim Holt,Republican,37866
Pulaski,Secretary of State,Charlie Daniels,Democratic,67879
Pulaski,Secretary of State,Jim Lagrone,Republican,36826
Pulaski,Secretary of State,"Ralph ""Marty"" Scully",Green,3601
Pulaski,State Auditor,Auditor of State Jim Wood,Democratic,86794
Pulaski,State Auditor,Michael Joseph Bolzenius,Green,14613
Pulaski,State Treasurer,Martha Shoffner,Democratic,70724
Pulaski,State Treasurer,Chris Morris,Republican,32060
Pulaski,State Treasurer,Brock Carpenter,Green,4283
Randolph,Attorney General,Dustin McDaniel,Democratic,3246
Randolph,Attorney General,Gunner DeLay,Republican,1142
Randolph,Attorney General,Rebekah Kennedy,Green,163
Randolph,Governor,Mike Beebe,Democratic,2894
Randolph,Governor,Asa Hutchinson,Republican,1403
Randolph,Governor,Rod Bryan,Independent,213
Randolph,Governor,Jim Lendall,Green,108
Randolph,Governor,Michael Jones,Write-In,1
Randolph,Governor,Gene Mason,Write-In,0
Randolph,Land Commissioner,Mark Wilcox,Democratic,3587
Randolph,Land Commissioner,Robert David Lewis,Green,587
Randolph,Lieutenant Governor,Bill Halter,Democratic,2768
Randolph,Lieutenant Governor,Jim Holt,Republican,1778
Randolph,Secretary of State,Charlie Daniels,Democratic,3278
Randolph,Secretary of State,Jim Lagrone,Republican,1183
Randolph,Secretary of State,"Ralph ""Marty"" Scully",Green,103
Randolph,State Auditor,Auditor of State Jim Wood,Democratic,3654
Randolph,State Auditor,Michael Joseph Bolzenius,Green,552
Randolph,State Treasurer,Martha Shoffner,Democratic,3210
Randolph,State Treasurer,Chris Morris,Republican,1178
Randolph,State Treasurer,Brock Carpenter,Green,131
Saline,Attorney General,Dustin McDaniel,Democratic,15943
Saline,Attorney General,Gunner DeLay,Republican,14245
Saline,Attorney General,Rebekah Kennedy,Green,1371
Saline,Governor,Asa Hutchinson,Republican,15931
Saline,Governor,Mike Beebe,Democratic,14754
Saline,Governor,Rod Bryan,Independent,677
Saline,Governor,Jim Lendall,Green,592
Saline,Governor,Michael Jones,Write-In,0
Saline,Governor,Gene Mason,Write-In,0
Saline,Land Commissioner,Mark Wilcox,Democratic,23215
Saline,Land Commissioner,Robert David Lewis,Green,5727
Saline,Lieutenant Governor,Bill Halter,Democratic,16191
Saline,Lieutenant Governor,Jim Holt,Republican,15467
Saline,Secretary of State,Charlie Daniels,Democratic,16163
Saline,Secretary of State,Jim Lagrone,Republican,14676
Saline,Secretary of State,"Ralph ""Marty"" Scully",Green,928
Saline,State Auditor,Auditor of State Jim Wood,Democratic,24470
Saline,State Auditor,Michael Joseph Bolzenius,Green,4747
Saline,State Treasurer,Martha Shoffner,Democratic,16077
Saline,State Treasurer,Chris Morris,Republican,14029
Saline,State Treasurer,Brock Carpenter,Green,1198
Scott,Attorney General,Dustin McDaniel,Democratic,1495
Scott,Attorney General,Gunner DeLay,Republican,1161
Scott,Attorney General,Rebekah Kennedy,Green,110
Scott,Governor,Mike Beebe,Democratic,1407
Scott,Governor,Asa Hutchinson,Republican,1230
Scott,Governor,Rod Bryan,Independent,80
Scott,Governor,Jim Lendall,Green,57
Scott,Governor,Michael Jones,Write-In,0
Scott,Governor,Gene Mason,Write-In,0
Scott,Land Commissioner,Mark Wilcox,Democratic,2196
Scott,Land Commissioner,Robert David Lewis,Green,443
Scott,Lieutenant Governor,Bill Halter,Democratic,1626
Scott,Lieutenant Governor,Jim Holt,Republican,1135
Scott,Secretary of State,Charlie Daniels,Democratic,1879
Scott,Secretary of State,Jim Lagrone,Republican,793
Scott,Secretary of State,"Ralph ""Marty"" Scully",Green,82
Scott,State Auditor,Auditor of State Jim Wood,Democratic,2241
Scott,State Auditor,Michael Joseph Bolzenius,Green,371
Scott,State Treasurer,Martha Shoffner,Democratic,1680
Scott,State Treasurer,Chris Morris,Republican,921
Scott,State Treasurer,Brock Carpenter,Green,188
Searcy,Attorney General,Dustin McDaniel,Democratic,1398
Searcy,Attorney General,Gunner DeLay,Republican,1377
Searcy,Attorney General,Rebekah Kennedy,Green,194
Searcy,Governor,Asa Hutchinson,Republican,1629
Searcy,Governor,Mike Beebe,Democratic,1296
Searcy,Governor,Rod Bryan,Independent,107
Searcy,Governor,Jim Lendall,Green,91
Searcy,Governor,Michael Jones,Write-In,0
Searcy,Governor,Gene Mason,Write-In,0
Searcy,Land Commissioner,Mark Wilcox,Democratic,1824
Searcy,Land Commissioner,Robert David Lewis,Green,611
Searcy,Lieutenant Governor,Jim Holt,Republican,1643
Searcy,Lieutenant Governor,Bill Halter,Democratic,1372
Searcy,Secretary of State,Charlie Daniels,Democratic,1688
Searcy,Secretary of State,Jim Lagrone,Republican,1180
Searcy,Secretary of State,"Ralph ""Marty"" Scully",Green,136
Searcy,State Auditor,Auditor of State Jim Wood,Democratic,1997
Searcy,State Auditor,Michael Joseph Bolzenius,Green,520
Searcy,State Treasurer,Chris Morris,Republican,1404
Searcy,State Treasurer,Martha Shoffner,Democratic,1320
Searcy,State Treasurer,Brock Carpenter,Green,185
Sebastian,Attorney General,Gunner DeLay,Republican,15358
Sebastian,Attorney General,Dustin McDaniel,Democratic,14875
Sebastian,Attorney General,Rebekah Kennedy,Green,1309
Sebastian,Governor,Asa Hutchinson,Republican,16142
Sebastian,Governor,Mike Beebe,Democratic,14971
Sebastian,Governor,Rod Bryan,Independent,377
Sebastian,Governor,Jim Lendall,Green,288
Sebastian,Governor,Michael Jones,Write-In,0
Sebastian,Governor,Gene Mason,Write-In,0
Sebastian,Land Commissioner,Mark Wilcox,Democratic,22067
Sebastian,Land Commissioner,Robert David Lewis,Green,6691
Sebastian,Lieutenant Governor,Jim Holt,Republican,16133
Sebastian,Lieutenant Governor,Bill Halter,Democratic,15350
Sebastian,Secretary of State,Charlie Daniels,Democratic,16651
Sebastian,Secretary of State,Jim Lagrone,Republican,13768
Sebastian,Secretary of State,"Ralph ""Marty"" Scully",Green,862
Sebastian,State Auditor,Auditor of State Jim Wood,Democratic,23950
Sebastian,State Auditor,Michael Joseph Bolzenius,Green,5153
Sebastian,State Treasurer,Martha Shoffner,Democratic,15236
Sebastian,State Treasurer,Chris Morris,Republican,14728
Sebastian,State Treasurer,Brock Carpenter,Green,976
Sevier,Attorney General,Dustin McDaniel,Democratic,1968
Sevier,Attorney General,Gunner DeLay,Republican,915
Sevier,Attorney General,Rebekah Kennedy,Green,95
Sevier,Governor,Mike Beebe,Democratic,1959
Sevier,Governor,Asa Hutchinson,Republican,956
Sevier,Governor,Rod Bryan,Independent,57
Sevier,Governor,Jim Lendall,Green,50
Sevier,Governor,Michael Jones,Write-In,0
Sevier,Governor,Gene Mason,Write-In,0
Sevier,Land Commissioner,Mark Wilcox,Democratic,2437
Sevier,Land Commissioner,Robert David Lewis,Green,414
Sevier,Lieutenant Governor,Bill Halter,Democratic,1876
Sevier,Lieutenant Governor,Jim Holt,Republican,1126
Sevier,Secretary of State,Charlie Daniels,Democratic,2089
Sevier,Secretary of State,Jim Lagrone,Republican,817
Sevier,Secretary of State,"Ralph ""Marty"" Scully",Green,75
Sevier,State Auditor,Auditor of State Jim Wood,Democratic,2566
Sevier,State Auditor,Michael Joseph Bolzenius,Green,302
Sevier,State Treasurer,Martha Shoffner,Democratic,2055
Sevier,State Treasurer,Chris Morris,Republican,828
Sevier,State Treasurer,Brock Carpenter,Green,83
Sharp,Attorney General,Dustin McDaniel,Democratic,3479
Sharp,Attorney General,Gunner DeLay,Republican,1758
Sharp,Attorney General,Rebekah Kennedy,Green,252
Sharp,Governor,Mike Beebe,Democratic,3159
Sharp,Governor,Asa Hutchinson,Republican,2021
Sharp,Governor,Rod Bryan,Independent,321
Sharp,Governor,Jim Lendall,Green,85
Sharp,Governor,Michael Jones,Write-In,0
Sharp,Governor,Gene Mason,Write-In,0
Sharp,Land Commissioner,Mark Wilcox,Democratic,4040
Sharp,Land Commissioner,Robert David Lewis,Green,964
Sharp,Lieutenant Governor,Bill Halter,Democratic,3048
Sharp,Lieutenant Governor,Jim Holt,Republican,2448
Sharp,Secretary of State,Charlie Daniels,Democratic,3575
Sharp,Secretary of State,Jim Lagrone,Republican,1749
Sharp,Secretary of State,"Ralph ""Marty"" Scully",Green,183
Sharp,State Auditor,Auditor of State Jim Wood,Democratic,4330
Sharp,State Auditor,Michael Joseph Bolzenius,Green,751
Sharp,State Treasurer,Martha Shoffner,Democratic,3300
Sharp,State Treasurer,Chris Morris,Republican,1904
Sharp,State Treasurer,Brock Carpenter,Green,253
St. Francis,Attorney General,Dustin McDaniel,Democratic,4896
St. Francis,Attorney General,Gunner DeLay,Republican,1577
St. Francis,Attorney General,Rebekah Kennedy,Green,323
St. Francis,Governor,Mike Beebe,Democratic,4939
St. Francis,Governor,Asa Hutchinson,Republican,1769
St. Francis,Governor,Rod Bryan,Independent,110
St. Francis,Governor,Jim Lendall,Green,87
St. Francis,Governor,Michael Jones,Write-In,0
St. Francis,Governor,Gene Mason,Write-In,0
St. Francis,Land Commissioner,Mark Wilcox,Democratic,5700
St. Francis,Land Commissioner,Robert David Lewis,Green,849
St. Francis,Lieutenant Governor,Bill Halter,Democratic,4681
St. Francis,Lieutenant Governor,Jim Holt,Republican,2187
St. Francis,Secretary of State,Charlie Daniels,Democratic,5174
St. Francis,Secretary of State,Jim Lagrone,Republican,1465
St. Francis,Secretary of State,"Ralph ""Marty"" Scully",Green,196
St. Francis,State Auditor,Auditor of State Jim Wood,Democratic,6009
St. Francis,State Auditor,Michael Joseph Bolzenius,Green,589
St. Francis,State Treasurer,Martha Shoffner,Democratic,5973
St. Francis,State Treasurer,Chris Morris,Republican,1676
St. Francis,State Treasurer,Brock Carpenter,Green,164
Stone,Attorney General,Dustin McDaniel,Democratic,2541
Stone,Attorney General,Gunner DeLay,Republican,1523
Stone,Attorney General,Rebekah Kennedy,Green,275
Stone,Governor,Mike Beebe,Democratic,2270
Stone,Governor,Asa Hutchinson,Republican,1956
Stone,Governor,Rod Bryan,Independent,130
Stone,Governor,Jim Lendall,Green,104
Stone,Governor,Michael Jones,Write-In,2
Stone,Governor,Gene Mason,Write-In,0
Stone,Land Commissioner,Mark Wilcox,Democratic,3166
Stone,Land Commissioner,Robert David Lewis,Green,893
Stone,Lieutenant Governor,Bill Halter,Democratic,2454
Stone,Lieutenant Governor,Jim Holt,Republican,1928
Stone,Secretary of State,Charlie Daniels,Democratic,2724
Stone,Secretary of State,Jim Lagrone,Republican,1395
Stone,Secretary of State,"Ralph ""Marty"" Scully",Green,231
Stone,State Auditor,Auditor of State Jim Wood,Democratic,3393
Stone,State Auditor,Michael Joseph Bolzenius,Green,660
Stone,State Treasurer,Martha Shoffner,Democratic,2611
Stone,State Treasurer,Chris Morris,Republican,1468
Stone,State Treasurer,Brock Carpenter,Green,225
Union,Attorney General,Dustin McDaniel,Democratic,6055
Union,Attorney General,Gunner DeLay,Republican,4814
Union,Attorney General,Rebekah Kennedy,Green,304
Union,Governor,Mike Beebe,Democratic,6057
Union,Governor,Asa Hutchinson,Republican,5222
Union,Governor,Rod Bryan,Independent,96
Union,Governor,Jim Lendall,Green,64
Union,Governor,Michael Jones,Write-In,0
Union,Governor,Gene Mason,Write-In,0
Union,Land Commissioner,Mark Wilcox,Democratic,8556
Union,Land Commissioner,Robert David Lewis,Green,1840
Union,Lieutenant Governor,Bill Halter,Democratic,5906
Union,Lieutenant Governor,Jim Holt,Republican,5406
Union,Secretary of State,Charlie Daniels,Democratic,7068
Union,Secretary of State,Jim Lagrone,Republican,3993
Union,Secretary of State,"Ralph ""Marty"" Scully",Green,223
Union,State Auditor,Auditor of State Jim Wood,Democratic,8981
Union,State Auditor,Michael Joseph Bolzenius,Green,1282
Union,State Treasurer,Martha Shoffner,Democratic,6111
Union,State Treasurer,Chris Morris,Republican,4609
Union,State Treasurer,Brock Carpenter,Green,356
Van Buren,Attorney General,Dustin McDaniel,Democratic,3048
Van Buren,Attorney General,Gunner DeLay,Republican,1935
Van Buren,Attorney General,Rebekah Kennedy,Green,332
Van Buren,Governor,Mike Beebe,Democratic,3007
Van Buren,Governor,Asa Hutchinson,Republican,2202
Van Buren,Governor,Rod Bryan,Independent,158
Van Buren,Governor,Jim Lendall,Green,156
Van Buren,Governor,Michael Jones,Write-In,0
Van Buren,Governor,Gene Mason,Write-In,0
Van Buren,Land Commissioner,Mark Wilcox,Democratic,4012
Van Buren,Land Commissioner,Robert David Lewis,Green,885
Van Buren,Lieutenant Governor,Bill Halter,Democratic,3210
Van Buren,Lieutenant Governor,Jim Holt,Republican,2160
Van Buren,Secretary of State,Charlie Daniels,Democratic,3332
Van Buren,Secretary of State,Jim Lagrone,Republican,1785
Van Buren,Secretary of State,"Ralph ""Marty"" Scully",Green,323
Van Buren,State Auditor,Auditor of State Jim Wood,Democratic,4143
Van Buren,State Auditor,Michael Joseph Bolzenius,Green,774
Van Buren,State Treasurer,Martha Shoffner,Democratic,3203
Van Buren,State Treasurer,Chris Morris,Republican,1814
Van Buren,State Treasurer,Brock Carpenter,Green,274
Washington,Attorney General,Dustin McDaniel,Democratic,22644
Washington,Attorney General,Gunner DeLay,Republican,19606
Washington,Attorney General,Rebekah Kennedy,Green,2299
Washington,Governor,Mike Beebe,Democratic,22836
Washington,Governor,Asa Hutchinson,Republican,20930
Washington,Governor,Jim Lendall,Green,733
Washington,Governor,Rod Bryan,Independent,538
Washington,Governor,Michael Jones,Write-In,0
Washington,Governor,Gene Mason,Write-In,0
Washington,Land Commissioner,Mark Wilcox,Democratic,29743
Washington,Land Commissioner,Robert David Lewis,Green,9732
Washington,Lieutenant Governor,Bill Halter,Democratic,24169
Washington,Lieutenant Governor,Jim Holt,Republican,20563
Washington,Secretary of State,Charlie Daniels,Democratic,24077
Washington,Secretary of State,Jim Lagrone,Republican,18832
Washington,Secretary of State,"Ralph ""Marty"" Scully",Green,1636
Washington,State Auditor,Auditor of State Jim Wood,Democratic,32062
Washington,State Auditor,Michael Joseph Bolzenius,Green,7948
Washington,State Treasurer,Martha Shoffner,Democratic,22180
Washington,State Treasurer,Chris Morris,Republican,19229
Washington,State Treasurer,Brock Carpenter,Green,2463
White,Attorney General,Dustin McDaniel,Democratic,10661
White,Attorney General,Gunner DeLay,Republican,8404
White,Attorney General,Rebekah Kennedy,Green,869
White,Governor,Mike Beebe,Democratic,11670
White,Governor,Asa Hutchinson,Republican,8653
White,Governor,Rod Bryan,Independent,365
White,Governor,Jim Lendall,Green,305
White,Governor,Michael Jones,Write-In,0
White,Governor,Gene Mason,Write-In,0
White,Land Commissioner,Mark Wilcox,Democratic,15044
White,Land Commissioner,Robert David Lewis,Green,3468
White,Lieutenant Governor,Bill Halter,Democratic,10678
White,Lieutenant Governor,Jim Holt,Republican,10029
White,Secretary of State,Charlie Daniels,Democratic,11898
White,Secretary of State,Jim Lagrone,Republican,8130
White,Secretary of State,"Ralph ""Marty"" Scully",Green,516
White,State Auditor,Auditor of State Jim Wood,Democratic,16042
White,State Auditor,Michael Joseph Bolzenius,Green,2672
White,State Treasurer,Martha Shoffner,Democratic,11894
White,State Treasurer,Chris Morris,Republican,7858
White,State Treasurer,Brock Carpenter,Green,685
Woodruff,Attorney General,Dustin McDaniel,Democratic,2009
Woodruff,Attorney General,Gunner DeLay,Republican,342
Woodruff,Attorney General,Rebekah Kennedy,Green,92
Woodruff,Governor,Mike Beebe,Democratic,1907
Woodruff,Governor,Asa Hutchinson,Republican,473
Woodruff,Governor,Jim Lendall,Green,75
Woodruff,Governor,Rod Bryan,Independent,40
Woodruff,Governor,Gene Mason,Write-In,1
Woodruff,Governor,Michael Jones,Write-In,0
Woodruff,Land Commissioner,Mark Wilcox,Democratic,2194
Woodruff,Land Commissioner,Robert David Lewis,Green,169
Woodruff,Lieutenant Governor,Bill Halter,Democratic,1945
Woodruff,Lieutenant Governor,Jim Holt,Republican,510
Woodruff,Secretary of State,Charlie Daniels,Democratic,2111
Woodruff,Secretary of State,Jim Lagrone,Republican,293
Woodruff,Secretary of State,"Ralph ""Marty"" Scully",Green,60
Woodruff,State Auditor,Auditor of State Jim Wood,Democratic,2338
Woodruff,State Auditor,Michael Joseph Bolzenius,Green,102
Woodruff,State Treasurer,Martha Shoffner,Democratic,2067
Woodruff,State Treasurer,Chris Morris,Republican,322
Woodruff,State Treasurer,Brock Carpenter,Green,68
Yell,Attorney General,Dustin McDaniel,Democratic,2823
Yell,Attorney General,Gunner DeLay,Republican,1427
Yell,Attorney General,Rebekah Kennedy,Green,176
Yell,Governor,Mike Beebe,Democratic,2672
Yell,Governor,Asa Hutchinson,Republican,1582
Yell,Governor,Rod Bryan,Independent,167
Yell,Governor,Jim Lendall,Green,93
Yell,Governor,Michael Jones,Write-In,0
Yell,Governor,Gene Mason,Write-In,0
Yell,Land Commissioner,Mark Wilcox,Democratic,3635
Yell,Land Commissioner,Robert David Lewis,Green,542
Yell,Lieutenant Governor,Bill Halter,Democratic,2797
Yell,Lieutenant Governor,Jim Holt,Republican,1658
Yell,Secretary of State,Charlie Daniels,Democratic,3104
Yell,Secretary of State,Jim Lagrone,Republican,1211
Yell,Secretary of State,"Ralph ""Marty"" Scully",Green,153
Yell,State Auditor,Auditor of State Jim Wood,Democratic,3759
Yell,State Auditor,Michael Joseph Bolzenius,Green,446
Yell,State Treasurer,Martha Shoffner,Democratic,2927
Yell,State Treasurer,Chris Morris,Republican,1302
Yell,State Treasurer,Brock Carpenter,Green,193
