"Contest ID","Contest Name","Location ID","Total Precincts","Precincts Reporting","Precincts Partially Reporting","Total Votes","Candidate ID","Candidate Name","Candidate Votes","Candidate Vote Percentage"
"274","City of Garland Ward 2, Place 1","43","1","1","0","52","592","Clifton Earl Rooters","42","80.77"
"274","City of Garland Ward 2, Place 1","43","1","1","0","52","593","Kim Collins","10","19.23"
"277","Bull Shoals Mayor (Special Election) City of Bull","12","2","2","0","1014","597","Carol Duss","302","29.78"
"277","Bull Shoals Mayor (Special Election) City of Bull","12","2","2","0","1014","600","William 'Bill' Stahlman Jr.","254","25.05"
"277","Bull Shoals Mayor (Special Election) City of Bull","12","2","2","0","1014","598","Phil Friese","252","24.85"
"277","Bull Shoals Mayor (Special Election) City of Bull","12","2","2","0","1014","599","Travis Fancher","206","20.32"
"281","LEVYING SALES AND USE TAX FOR CITY OF STEPHENS st","3","1","1","0","285","606","FOR ADOPTION OR 2% LOCAL SALES AND U","152","53.33"
"281","LEVYING SALES AND USE TAX FOR CITY OF STEPHENS st","3","1","1","0","285","605","AGAINST ADOPTION OR 2% LOCAL SALES A","133","46.67"
"282","City of Osceola, Ward 3, Pos. 2","20","1","1","0","652","608","Tyler Dunegan","437","67.02"
"282","City of Osceola, Ward 3, Pos. 2","20","1","1","0","652","607","George Williams","215","32.98"
"285","El Dorado Alderman Ward 2 Position 2 El Dorado","36","1","1","0","1623","613","REP Judy Ward","978","60.26"
"285","El Dorado Alderman Ward 2 Position 2 El Dorado","36","1","1","0","1623","612","DEM Nathan Rainey","645","39.74"
"286","City of Clinton Recorder/Treasurer City of Clinto","2","4","4","0","960","615","IND Dena R Thompson Malone","489","50.94"
"286","City of Clinton Recorder/Treasurer City of Clinto","2","4","4","0","960","614","IND Amber Maddox","471","49.06"
"288","DIAMONDHEAD MAYOR DIAMONDHEAD AT LARGE","75","1","1","0","422","618","RALPH CARRUTH","422","100.00"
"293","City of Greenwood, Alderman Ward 3 Pos. 2","37","32","32","0","3788","628","Ralph Meeker Jr.","2441","64.44"
"293","City of Greenwood, Alderman Ward 3 Pos. 2","37","32","32","0","3788","627","Christian Jones","1347","35.56"
"296","City of Carlisle, Councilman, Ward 2 Pos. 2","4","3","3","0","804","635","Tina Hillman","492","61.19"
